Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Part des prestations sociales dans le rev. disp. 2021;Part des pers. âgées de 75 ans ou + 2020;Médiane du niveau de vie 2021;Part des revenus d'activité dans le rev. disp. 2021;Part des pensions, retraites et rentes dans le rev. disp. 2021;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2020;Part des pers., dont le diplôme le plus élevé est le bac, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des revenus du patrimoine et autres dans le rev. disp. 2021
200040442;CA Luberon Monts de Vaucluse;55007;5.5;11.2;21700;67.7;30.9;25.8;17.3;10.5;8.9;7.9;11.9
200040459;CA Montélimar Agglomération;68546;5.8;10;22470;68.9;30.8;19.8;18.8;12.2;9.1;8.1;10.3
200040475;CC LBN Communauté;17921;4.8;9.6;21970;74.3;26.8;24.8;17.5;10;6;4;7.4
200040491;CC Porte de DrômArdèche;47811;6;9.7;21880;70.9;28.8;24.9;17.1;11.2;6.6;4.7;7.8
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;16102;6.3;11.8;21290;61.4;34.8;22.1;16.7;11.7;11;8.7;11.1
200040558;CC Écueillé-Valençay;10924;5.3;18.9;20540;52.8;46.8;31;15;7.4;4.9;3.2;7.2
200040566;CA de l'Ouest Rhodanien;50464;5.8;10.9;22280;69.6;30.2;27;17.1;10.3;6.5;5.1;8
200040574;CC Beaujolais Pierres Dorées;55120;2.7;8.4;27890;81.1;23.9;14.1;17.5;15.4;12.4;14.2;11.2
200040590;CA Villefranche Beaujolais Saône;72925;6.4;9.6;22430;73.4;27.5;22.6;17.8;11.6;9.2;8.3;8.2
200040624;CC Pays d'Apt-Luberon;28577;5;13.4;21180;54.9;37.3;21.1;18.9;9.9;9.5;8.4;18.4
200040657;CC de la Matheysine;18947;4.6;11.3;22880;66.3;35.6;19.9;18.4;11.7;8.4;6.6;7.3
200040681;CC Enclave des Papes-Pays de Grignan;22728;5.7;12;21450;61.7;37;25.4;17.6;10.1;7.6;6.2;10.2
200040715;Grenoble-Alpes-Métropole;449488;5.3;9.3;23940;76;26.9;18.8;15.7;12;11.3;18.7;9
200040764;CC du Sud Corse;21135;4.9;9.7;21980;69.6;25.6;20.4;27.3;9.2;9.4;6.2;17.7
200040772;CC du Perche et Haut Vendômois;9151;4.6;12.3;22000;65.9;34.4;26.1;16.9;9.4;5.2;3.4;8.2
200040798;CC Val Vanoise;9046;2.2;8.3;23710;73.1;25.4;13.8;20.9;13.4;11.2;8;17.4
200040814;CC Briance Sud Haute Vienne;9130;4.1;12.7;22520;69.7;30.3;21.6;18.2;12;8.8;6;9.7
200040830;CC du Pays de Fénelon;9668;4.1;13.9;21670;57.5;41.3;23.4;17.2;11.2;7.4;4.5;11
200040889;CC de Portes Sud Périgord;8437;4.4;15.6;21540;54.7;42.2;23.2;18.1;10.2;8.5;5.6;11.8
200040905;CC Carmausin-Ségala;29975;6.8;15;20430;58.6;39.5;25.6;18.6;9.1;7.1;3.5;7
200040947;CC de Flandre Intérieure;102489;5;8.5;23240;73.6;27.5;22.9;17.8;12.5;8.6;6.2;8.7
200040954;CC des Hauts de Flandre;53545;4.6;7.9;23210;75.2;27.1;21.4;19.3;12.7;8.1;5.2;7.9
200041010;CC Cœur de Savoie;37613;3.4;8.6;25140;76.3;26.6;16.4;18.2;13.7;10.1;8.7;9.2
200041051;CC Vallée de la Dordogne et Forêt Bessède;8942;5.1;15.6;20630;52.3;45.6;24.4;17.3;9.2;7.4;5.5;10.7
200041150;CC Terrassonnais Haut Périgord Noir;22111;5.8;13.6;20660;57.8;41;24.7;17.4;9.1;6.2;4.5;8
200041168;CC de la Vallée de l'Homme;15828;5.4;15.7;20710;51.1;45.1;22.8;18.5;9.6;7.9;6.5;11.7
200041283;CC de la Plaine du Rhin;18356;2;8.3;27260;87.4;22;20.5;18.7;9;6.5;6;6.5
200041317;CA du Niortais;122302;4.9;10.3;24130;74.9;30;18.9;16.4;13.4;10.3;9.6;6.6
200041325;CC du Pays Rhénan;36987;2.4;8.8;26440;81.9;25.6;19;16.6;11.6;7.4;6.6;6.5
200041333;CC de Parthenay-Gâtine;36898;5.8;14.5;20790;63;35;29.5;16.2;9;5.9;3.8;8.7
